condition,condition_label,block,n_trials,verify_rate,accept_rate,final_accuracy_rate,overreliance_rate,underreliance_rate,mean_decision_time_sec
C1,No hedge + Text,1,180,0.4,0.7,0.8666666666666667,0.06666666666666667,0.06666666666666667,16.05158888888889
C1,No hedge + Text,2,180,0.3611111111111111,0.7166666666666667,0.8277777777777777,0.09444444444444444,0.07777777777777778,11.029772222222222
C1,No hedge + Text,3,180,0.37222222222222223,0.7,0.8888888888888888,0.05555555555555555,0.05555555555555555,9.786705555555555
C2,Hedge + Text,1,180,0.4666666666666667,0.6944444444444444,0.8277777777777777,0.08333333333333333,0.08888888888888889,16.020433333333333
C2,Hedge + Text,2,180,0.43333333333333335,0.7111111111111111,0.9,0.05555555555555555,0.044444444444444446,12.173644444444443
C2,Hedge + Text,3,180,0.40555555555555556,0.6888888888888889,0.8666666666666667,0.06111111111111111,0.07222222222222222,12.700038888888889
C3,No hedge + Speech,1,180,0.26666666666666666,0.6777777777777778,0.8,0.08888888888888889,0.1111111111111111,10.602411111111111
C3,No hedge + Speech,2,180,0.2722222222222222,0.7,0.8333333333333334,0.08333333333333333,0.08333333333333333,6.996444444444444
C3,No hedge + Speech,3,180,0.36666666666666664,0.7111111111111111,0.8444444444444444,0.08333333333333333,0.07222222222222222,7.790794444444445
C4,Hedge + Speech,1,180,0.2611111111111111,0.6944444444444444,0.7833333333333333,0.10555555555555556,0.1111111111111111,9.83398888888889
C4,Hedge + Speech,2,180,0.2222222222222222,0.6388888888888888,0.8277777777777777,0.05555555555555555,0.11666666666666667,6.709883333333333
C4,Hedge + Speech,3,180,0.3333333333333333,0.6888888888888889,0.8,0.09444444444444444,0.10555555555555556,7.479616666666666
