participant_id,condition,condition_label,hedging,modality,interview_strategy,interview_hedges,interview_modality,interview_block_changes,strategy_mentions_own_knowledge,strategy_mentions_verify_uncertainty,hedges_noticed_uncertainty,hedges_not_noticed_or_skipped,modality_no_effect,modality_voice_not_heard_or_read,block_no_change,block_more_aware_or_changed,researcher_notes
P_1778665385732_378,C3,No hedge + Speech,0,1,Feedback on verify,As input to validate,No. I read the details.,Use of verify when I doubted.,0,1,0,0,1,1,0,0,
P_1778665895081_9117,C1,No hedge + Text,0,0,Common knowledge and verifying if I had a doubt,Like the assistant was not sure itself,"no, did not have a voice",more aware of the possible wrong anwers,1,1,1,0,1,0,0,1,
P_1778667060449_6321,C1,No hedge + Text,0,0,Primarily my own knowledge but I had to rely on the verification if I was not certain,"I did not mind that, as most AI come in the form of a language model and it can be seen as an attempt to be human-like. I tried to search for the answer asap","no, it did not.",Not as far as I know,1,1,0,0,1,0,1,0,
P_1778667621646_4174,C1,No hedge + Text,0,0,"I verified quite a lot of the answers, but not with a lot of depth. I just read it quickly and decided based on that. I verified more when I didnt know a lot about the topic.","'I think' is more uncertain, while 'it seems' felt more like 'this is what i found'",To be honest I didnt hear a voice...,"Not really, I didnt take breaks I just went through with it because it wasnt much trouble",0,1,1,0,0,1,1,0,
P_1778681814697_1863,C2,Hedge + Text,1,0,Whether I already knew the answers upfront or not. When I thought it was interesting I would verify.,"I notified it, I think it is funny for a system to answer with I think or it seems as it doesn't truly think.","No, I don't think so. Maybe by reading instead of audio I went through it faster.",I do not think so,1,1,1,0,1,1,1,0,
P_1778683691383_7967,C3,No hedge + Speech,0,1,I accepted or rejected when I knew the answer already and I verified when I didn't know,"I did not see these phrases in the answers, so I might have skipped over them while reading. But they would make me want to verify the information when it is said about a topic I know nothing about",No not really,Not necessarily,1,1,1,1,1,0,1,0,
P_1778691346089_41,C2,Hedge + Text,1,0,twijfel over het juiste antwoord.,twijfelachtig,nee,nee,0,1,1,0,1,0,1,0,
P_1778701974935_6024,C3,No hedge + Speech,0,1,Whether I knew the answer or not,"Not gonna lie, I barely noticed them, usually I already knew the answer","The voice was a bit too slow for me, I tended to have read the question by the time the 3rd word was spoken","Yeah, I chose to verify more answers when I wasn't sure by the end of block 2, although by block 3 I had realized that mostly meant I verified when I thought it was false, and usually it was",1,0,0,0,0,1,0,1,
P_1778704351757_2789,C4,Hedge + Speech,1,1,i dont know the answer myself,uncertainty,it felt useless,yes i am more used to the task,0,0,1,0,0,0,0,0,
P_1778704636938_3191,C4,Hedge + Speech,1,1,Often things I was certain about did that at once and otherwise checked info,"I did not really think about that, that did not influence my decision",No,No,0,0,0,0,1,0,1,0,
P_1778704794189_4572,C4,Hedge + Speech,1,1,My Knowledge,I did Not Interpret them intentionally,No,No,0,0,0,0,1,0,1,0,
P_1778705995339_9484,C2,Hedge + Text,1,0,"Knowledge I had previously, and the supporting notes for information thats outside of my knowledge",Uncertainty,"Yes, if it sounded like it was talking in a roundabout way, then I felt less inclined to believe it",I got more comfortable with the format,0,0,1,0,0,0,0,0,
P_1778708328964_5797,C4,Hedge + Speech,1,1,"Many general knowledge questions I knew, so it was easy to accept or reject the ones I already knew. If I was skeptical, I typically rejected, unless it sounded like something I had heard before","I think does make it seem like the AI is not confident in the answer it gives, but it seems gives me the impression that this answer has been found by the AI and is more confident",I think I was more focused on deciding if the answer was wrong or right than the exact wording. The voice wwas very monotonous and I read fast so I rarely listened to the audio finish the whole sentence through.,No,1,0,1,0,1,1,1,0,
P_1778749151091_1515,C4,Hedge + Speech,1,1,"Whether I knew the information to be true or not, so my own knowledge",Like the agent did not want to commit to the answer,"No, but it was very clear.","No, I do not think so, I was just replying faster and using verification function more when I did not know the answer.",1,0,0,0,1,0,1,0,
P_1778749876132_2373,C4,Hedge + Speech,1,1,knowledge,wrong,not at all,no,0,0,0,0,1,0,1,0,
P_1778776455353_2359,C4,Hedge + Speech,1,1,Clicking the links if i wasn’t certain of it myself,Insecure AI,I don’t like talking AI it feels dystopian,"Yes i did nit notice the explanation blocks at first, so I was clicking the links the whole first half. Later I noticed the blocks and didnt click the links",0,0,0,0,0,0,1,0,
P_1778776826927_5525,C4,Hedge + Speech,1,1,My own knowledge mostly,I did not pay attention to it,"No, I tried to look at the facts","Yes, later in the test I realized that the 'verify' button could also give false information. That's when I started to doubt this system as a whole and started to rely more on my own human knowledge.",1,0,0,0,1,0,1,0,
P_1778779676299_531,C4,Hedge + Speech,1,1,My own uncertainty coupled with my doubts about the answer,AI gives opinions and ideas on a certain aspect,n/a,n/a,0,1,0,0,0,0,0,0,
P_1778783292172_9344,C4,Hedge + Speech,1,1,supported sources and own knowdledg,uncertaintity,"yes, didnt make me sure of its answers",yeah i got frustrated with its voice,0,0,1,0,0,0,0,0,
P_1778790165724_448,C4,Hedge + Speech,1,1,-,-,-,-,0,0,0,0,0,0,0,0,
P_1778792030226_2528,C4,Hedge + Speech,1,1,My knowledge.,That it is unreliable,Yes it was such a robotic creepy voice,"A bit, i used the verify button more",0,0,0,0,0,0,0,0,
P_1778796276592_902,C4,Hedge + Speech,1,1,quando eu não sabia a resposta com certeza,que a IA não tinha certeza daquela informação,"sim, quando ele diz ""eu acho"" faz vc buscar em outro lugar a resposta com clareza",não,0,0,0,0,0,0,0,0,
P_1778796798194_7151,C4,Hedge + Speech,1,1,my own knowledge and the additional information,as uncertain and challengeable,no it did not,did not change,1,0,1,0,1,0,1,0,
P_1778796867720_9657,C4,Hedge + Speech,1,1,"I don’t trust AI, there is not point in adopting it. I trust humans not machines",That it is ridiculous AI does not think humans think. More accurately it should say I analyze the patterns and guess,I don’t like voice AI it’s annoying,No- AI continues to be overused,0,0,0,0,1,0,1,0,
P_1778800124360_4679,C4,Hedge + Speech,1,1,my knowledge,yes,mo,no,0,0,0,0,0,0,1,0,
P_1778801852124_4942,C2,Hedge + Text,1,0,"If I knew the correct answer I immediately chose to accept or deny, but if I didn’t know the question I first chose to verify it.",Like the AI is a person on its own.,No.,No.,0,1,0,0,1,0,1,0,
P_1778825029428_5870,C4,Hedge + Speech,1,1,Based on existing knowledge,As indicating the assistant 100% sure,Tone and ancent is clear,Nop,0,0,0,0,0,0,1,0,
P_1778825656907_3344,C1,No hedge + Text,0,0,If I didn't know enough about the subject,I verified the information to see if it's true if I wasn't sure myself.,No not really,No,0,0,0,0,1,0,1,0,
P_1778828704454_61,C2,Hedge + Text,1,0,Lezen,Dat ie t nie snapt he,Ne,Ne,0,0,0,0,0,0,0,0,
P_1778829089496_8631,C2,Hedge + Text,1,0,Of ik t wist of niet,Niet zeker,Ja,Nee,1,0,0,0,0,0,1,0,
P_1778833442101_9088,C3,No hedge + Speech,0,1,existing knowledge of some answers,im not sure,the voice sounded very confident so i was pretty sure it has right answers,while listening some facts i came across some wrong statements so i started doubting it,0,0,1,0,0,0,0,0,
P_1778834021078_7780,C3,No hedge + Speech,0,1,my knowledge or verify sources,more friendly towards mistakes,no,no,0,1,0,0,1,0,1,0,
P_1778841129896_1531,C3,No hedge + Speech,0,1,My own knowledge and certainty,As uncertainty,No,No,1,0,1,0,1,0,1,0,
P_1778841297733_4531,C3,No hedge + Speech,0,1,"If i already knew the answer, I pressed accept or reject. Otherwise I verified",I didn’t notice them,"The voice sounded the same each time, therefore if the bot didn’t know it for sure, I couldn’t tell",No,1,1,0,0,1,0,1,0,
P_1778845247630_9479,C2,Hedge + Text,1,0,"If I am not sure what the answer is on a question, I would rather know it for sure than make a mistake and give the wrong answer.","To be honest, not in a particular way. I think it made it seem more human-like instead of being COMPLETELY sure.",Not at all. I think it did a very great job in supporting my decisions.,"I think my confidence in getting the answers on the questions right got a little bit higher, but I am not sure if that is because of the questions or because the AI helped me gain some confidence.",0,0,1,0,1,0,1,0,
P_1778859314562_9490,C3,No hedge + Speech,0,1,info i know from high school,like an uncertainty,the voice is too robotic so i trust it more,"yes, i started thinking i made some mistakes",0,0,1,0,0,0,0,0,
P_1778859408277_6391,C3,No hedge + Speech,0,1,"my own knowledge made me accept, reject or verify answers.",I think sounds like a personal opinion and it seems seems more factual,"It sounded computery, so not like a real person. the voice did have intonation which was nicer to listen to and because of the robotic voice aspect, the information might come across more factual.",no,1,1,1,0,1,0,1,0,
P_1778859724015_9009,C3,No hedge + Speech,0,1,"Accepted or rejected if I already knew the answer, verified if I wasn't sure",uncertainty,no,no,1,1,1,0,1,0,1,0,
P_1778859779090_6322,C3,No hedge + Speech,0,1,my knowledge,did not influence my decision,no,no,0,0,0,0,1,0,1,0,
P_1778863062210_6910,C3,No hedge + Speech,0,1,On my prior knowledge.. if I kind of had a prior idea to it then I didn't have to verify it. But if I was uncertain or had no clue I had to verify it.,Uncertain - but it didn't come up in the AI thing.,No,"Yes. I was sometimes unsure of information that I was sure of. like I knew the answer, but I wanted to verify them just to make sure that I was right.",0,1,1,0,1,0,0,0,
P_1778863632442_2132,C3,No hedge + Speech,0,1,the facts,sounding uncertain,no,no,0,0,1,0,1,0,1,0,
P_1778864979990_4498,C3,No hedge + Speech,0,1,idk,idk,idk,idk,0,0,0,0,0,0,0,0,
P_1778869530326_8120,C2,Hedge + Text,1,0,Based on own knowledge and looked at the assistant,"Very bad, woudn’t believe it if AI answers like this",No,No,1,0,0,0,1,0,1,0,
P_1778916390500_7722,C3,No hedge + Speech,0,1,my own knowledge,what the AI thinks,no,no,1,0,1,0,1,0,1,0,
P_1778918939687_1004,C3,No hedge + Speech,0,1,-,-,-,-,0,0,0,0,0,0,0,0,
P_1778925422387_2108,C3,No hedge + Speech,0,1,Whether I knew/did not knew the right answer.,I did not take them into consideration.,No.,"No, it did not change.",0,0,0,0,1,0,1,0,
P_1778927249510_2817,C1,No hedge + Text,0,0,Ik heb eerst gecheckt of het antwoord juist was en dan of het voldoende informatie gaf,Als iets wat de ai ergens gelezen heeft maar niet helemaal overtuigd is.,Nvt,Nvt,0,0,0,0,0,0,0,0,
P_1778933322235_105,C4,Hedge + Speech,1,1,If the verification didn't match with the answer I would reject it.,I didn't like them for statements that are clearly (not) true. That made it seem like the AI didn't know when something was a fact or not.,I don't think so.,Maybe I lost my concentration a bit sometimes.,0,1,0,0,0,0,0,0,
P_1778937849014_6773,C3,No hedge + Speech,0,1,instinct,uncertanity,no,no,0,0,0,0,1,0,1,0,
P_1778951845187_8179,C1,No hedge + Text,0,0,The answers i know,Xx,"No, ik make no diffurence",Ni,0,0,0,0,1,0,0,0,
P_1778964675197_697,C2,Hedge + Text,1,0,If I thought I knew it,Didn't,I dont think so,I got more confident in my ability to judge it,0,0,0,0,0,0,0,0,
P_1779000818799_2602,C2,Hedge + Text,1,0,Based on own knowledge.,I ignored it because I thought it was part of the experiment. It made the assistant not reliable at all.,No.,No.,1,0,0,0,1,0,1,0,
P_1779010646107_7088,C1,No hedge + Text,0,0,If i thought i knew the answer i wouldnt verify. When in doubt i did.,I didnt,Didnt do voice because family around.,"Not at all, i never trust AI answers and usually verify",1,1,0,0,0,0,1,0,
P_1779011444033_6599,C2,Hedge + Text,1,0,If I wanted to make sure it was the right answer. So just based on my own knowledge level,Didn't take that into account since it is AI so it can always generates random things,"No, just check the facts not the way how it is fornulated","You get more familiair with the question method, so maybe yes in that way",1,0,0,0,1,0,0,0,
P_1779032199414_8568,C2,Hedge + Text,1,0,Confidence in myself,Dont like it. Answers not reliabe,No,Little bit. Understanding the way of questioning,0,0,0,0,1,0,0,0,
P_1779048380762_7396,C2,Hedge + Text,1,0,Door de hulp te bekijken,Niet op gelet,Nee,Volgens mij niet,0,0,0,0,1,0,0,0,
P_1779048999001_2808,C1,No hedge + Text,0,0,"To make sure it was right or wrong, even if I already knew the answer.",It made me think the ai was not serious or certain about its answer,I did not use it,I learned to check my answers really good before making a decision.,1,0,0,0,1,0,0,0,
P_1779051258244_4803,C2,Hedge + Text,1,0,"My own knowledge, otherwise the sources where necessary","It did not seem to have impact on whether itnwas true or not, but I say without keeping count.",No.,Yes. I started to figure out the nature of the assistant more and forced myself to trust my knowledge or verify through the source(s),1,0,0,1,1,0,1,0,
P_1779090549319_6431,C1,No hedge + Text,0,0,If i knew the answer or when i verified it i believed the assistant told me the truth,I dont know tbh,No i just gave the answer if i were sure and otherwise i asked the assistant,Yes i sped it up because it took long if i would ask every question to the assistant,1,1,0,0,1,0,0,0,
P_1779172064690_9702,C1,No hedge + Text,0,0,"If I didn't know the answer, verify and based on that, accept or reject","That it's probably true, sometimes I googled as well if I was not sure",No,No,0,1,1,0,1,0,1,0,
P_1779176939113_327,C1,No hedge + Text,0,0,Whether or not I was sure.,I didnt even notice to be honest.,No.,"Yes, I used the assistent more along the way.",0,0,0,0,1,0,0,0,
P_1779182696586_3060,C1,No hedge + Text,0,0,knowledge,i don't believe i received answers like that,didn't get voice. only text. seemed to work very well,no,0,0,0,0,1,0,1,0,
P_1779183821928_8232,C1,No hedge + Text,0,0,"based on its reliability, logical consistency, and source credibility",information may involve subjective speculation and require extra verifying,no,I am more inclined to look at the claim first later on,0,0,1,0,1,0,0,0,
P_1779207302608_5437,C1,No hedge + Text,0,0,General knowledge,Uncertain,"Yes, unreliable",No,0,0,1,0,0,0,1,0,
P_1779215379648_1170,C2,Hedge + Text,1,0,"Things I knew myself for certain I accepted. When the AI confirmed what I had in mind, immediately verify. A few were definitely wrong, so those I did not check. The majority where I had doubt, I used the verification, where usually the second snipping (or what was it called), provided me the more useful information. Regarding the verifications, I mostly rejected I think.",Annoying. The feeling of uncertainty makes you always greedy for verification unless you know the answer for certain by yourself.,"I think it was written in a friendly way, but apart from the 'I think' and 'it seems' the answers were long. I think the brain spills a lot of energy reading the long sentences because in my opinion the extra words do not make it necessarily clearer in all cases.",There comes nothing to mind.,0,1,1,0,1,1,1,0,
P_1779215940859_8085,C1,No hedge + Text,0,0,I mostly checked answers when I felt uncertain about the answer of the assistant.,"I did not notice these types of phrases, I felt like my judgement of verifying the answers was based on whether I felt like I knew the answers myself or not.","I´m used to working with AI assistants like Chatgpt that give you a long answer when you ask a question, with a lot of arguments. This assitant gave very short answers, which I think is nice to have in a chatbot assistant if you want quick answers, but specifically in this task (because I knew some answers could be wrong) it made me a bit suspicious when there was little to no argumentation when an answer was given.","all blocks felt kind of similar to me, I don't think my behaviour changed over blocks.",0,1,1,1,1,0,0,1,
P_1779219582630_5218,C2,Hedge + Text,1,0,If I had a little bit of doubt I decided to verify and then accept or reject,"not sure of the answer, maybe use the verify option",Yes it sounded insecure and I think therefore doubted it a bit more and used the verify option,No,0,1,1,0,0,0,1,0,
